id,smiles,inchikey,mw,alogp,tpsa,hbd,hba,rotb,lipinski_ok,veber_ok,egan_ok,ghose_ok,admet_decision,admet_reason,config_hash,tools_rdkit,created_at
202591,C1C(C2(C(C(OC(C2O1)N3C=NC4=CN=C(N=C43)N)C(C(=O)O)NC(=O)C(CCCN(C(=N)N)O)N)O)O)O,QSPCQKVMQODSDN-UHFFFAOYSA-N,554.52,-4.58,314.53,10,15,9,FALSE,FALSE,FALSE,FALSE,FAIL,Lipinski violated; Veber violated,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
202726,COC1=C(C=C(C=C1)C=NC2=CC=C(C=C2)C(=O)O)OC,GXQAOUFDVRTGGL-UHFFFAOYSA-N,285.3,3.15,68.12,1,4,5,TRUE,TRUE,TRUE,TRUE,PASS,All rules satisfied,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
202774,COC1=CC=CC=C1NC2=CC=CC=C2C(=O)O,FPIMZRVJKYCPAX-UHFFFAOYSA-N,243.26,3.14,58.56,2,3,4,TRUE,TRUE,TRUE,TRUE,PASS,All rules satisfied,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
202819,C1CC(CCC1CO)C(=O)O,VQMIUUBKKPIDBN-UHFFFAOYSA-N,158.2,0.87,57.53,2,2,2,TRUE,TRUE,TRUE,FALSE,PASS,All rules satisfied,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
202918,COC1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,AOTGWRVCPVLSPA-UHFFFAOYSA-N,243.26,3.14,58.56,2,3,4,TRUE,TRUE,TRUE,TRUE,PASS,All rules satisfied,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
202954,C1=CC2=C(C=CC(=C2C(=C1)C(=O)O)C(=O)O)Cl,OESMXMMJMGTCAJ-UHFFFAOYSA-N,250.64,2.89,74.6,2,2,2,TRUE,TRUE,TRUE,TRUE,PASS,All rules satisfied,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
203275,CCCCCCCCCCCCCCCC1=CC(=CC=C1)OCC(=O)O,UESKGTSLDNVZTD-UHFFFAOYSA-N,362.55,6.78,46.53,1,2,17,FALSE,FALSE,FALSE,FALSE,FAIL,Lipinski violated; Veber violated,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
203427,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,FTIQEVPFMLQJJT-QFIPXVFZSA-N,397.64,6.86,66.4,2,2,20,FALSE,FALSE,FALSE,FALSE,FAIL,Lipinski violated; Veber violated,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
203507,CCC(C1CCCCC1)C(=O)OCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,FSDBTUMIKFVKQC-UHFFFAOYSA-N,461.55,2.23,161.67,4,7,13,TRUE,FALSE,FALSE,TRUE,FAIL,Veber violated,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
204055,CCCC1=C(C=CC2=C1OC(CC2)C(=O)O)OCCCOC3=C(C(=C(C=C3)C4=CSC=N4)OC)CC5CC5,NFHKAMAWIQHXAT-UHFFFAOYSA-N,537.68,6.35,87.11,1,7,13,FALSE,FALSE,FALSE,FALSE,FAIL,Lipinski violated; Veber violated,3b6e7f09e0,RDKit available,2026-01-22T03:18:39Z
