id,smiles,inchikey,admet_status,admet_reason,sdf_status,sdf_path,sdf_reason,pdbqt_status,pdbqt_path,pdbqt_reason,vina_status,vina_score,vina_pose,vina_reason,config_hash,receptor_sha1,tools_rdkit,tools_meeko,tools_vina,created_at,updated_at
202591,C1C(C2(C(C(OC(C2O1)N3C=NC4=CN=C(N=C43)N)C(C(=O)O)NC(=O)C(CCCN(C(=N)N)O)N)O)O)O,QSPCQKVMQODSDN-UHFFFAOYSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
202726,COC1=C(C=C(C=C1)C=NC2=CC=C(C=C2)C(=O)O)OC,GXQAOUFDVRTGGL-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\202726.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
202774,COC1=CC=CC=C1NC2=CC=CC=C2C(=O)O,FPIMZRVJKYCPAX-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\202774.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
202819,C1CC(CCC1CO)C(=O)O,VQMIUUBKKPIDBN-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\202819.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
202918,COC1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,AOTGWRVCPVLSPA-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\202918.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
202954,C1=CC2=C(C=CC(=C2C(=C1)C(=O)O)C(=O)O)Cl,OESMXMMJMGTCAJ-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\202954.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
203275,CCCCCCCCCCCCCCCC1=CC(=CC=C1)OCC(=O)O,UESKGTSLDNVZTD-UHFFFAOYSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
203427,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,FTIQEVPFMLQJJT-QFIPXVFZSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
203507,CCC(C1CCCCC1)C(=O)OCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,FSDBTUMIKFVKQC-UHFFFAOYSA-N,FAILED,Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
204055,CCCC1=C(C=CC2=C1OC(CC2)C(=O)O)OCCCOC3=C(C(=C(C=C3)C4=CSC=N4)OC)CC5CC5,NFHKAMAWIQHXAT-UHFFFAOYSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
204058,CCCC1=C(C=CC2=C1O[C@@H](CC2)CCC(=O)O)OCCCOC3=C(C(=C(C=C3)C(=O)NC)OC)CC4CC4,YWYUQSGYKDEAMJ-QFIPXVFZSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
204106,C1=CC=C(C=C1)C(C2=CC=CC=C2)N3C4=C(C=C(C=C4)Cl)C(=C3CCNS(=O)(=O)CC5=CC(=C(C=C5)Cl)Cl)CCOC6=CC=C(C=C6)C(=O)O,FMMCHWHNSUBYAV-UHFFFAOYSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
204107,CC(C)(C)C1=CC(=C(C=C1)OC)CN[C@@H]2[C@@H](N3CCC2CC3)C(C4=CC=CC=C4)C5=CC=CC=C5.C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O,PGVSXRHFXJOMGW-YBZGWEFGSA-N,FAILED,Lipinski violated; Veber violated,,,,,,,,,,,3b6e7f09e0,,,,,2026-01-22T03:18:39Z,2026-01-22T03:18:39Z
204395,CC1=NC(=CN1CC(=O)O)[N+](=O)[O-],NLTLZGISRLBDJI-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\204395.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
204478,CC(C)(CCCCC(C)(C)C(=O)O)C(=O)O,HTGDDXZLPDBWRI-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\204478.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
205058,C1=CC2=C(C=C1Cl)C(=CS2)CC(=O)O,QQKKTOPRRGBBCT-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\205058.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
205059,C1=CC2=C(C=C1Br)C(=CS2)CC(=O)O,ZCOAKUJOOQOKHY-UHFFFAOYSA-N,PASSED,All rules satisfied,DONE,C:\MEGASync\Teaching Stuff\1st Sem\Drug Disco\Molecular Docking\Molecular Docking Tool Program (PROD)\WINDOWS\3D_Structures\205059.sdf,OK,,,,,,,,fecb710ccc,,RDKit,,,2026-01-22T03:18:39Z,2026-01-22T03:18:42Z
